\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_23_116.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_23_116.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_23_116.jpg,0,0,0,7.99E-05
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_23_218.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_23_218.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_23_218.jpg,0,0,0,7.98E-05
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_23_320.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_23_320.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_23_320.jpg,0,0,0,8.01E-05
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_23_421.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_23_421.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_23_421.jpg,0,0,0,7.99E-05
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_23_525.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_23_525.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_23_525.jpg,0,0,0,8.06E-05
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_23_627.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_23_627.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_23_627.jpg,0,0,0,7.98E-05
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_23_741.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_23_741.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_23_741.jpg,0,0.3396687,0,0.4824627
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_23_841.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_23_841.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_23_841.jpg,0,0.603179,0,1.064895
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_23_945.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_23_945.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_23_945.jpg,0,0.9065971,0,2.141147
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_048.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_048.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_048.jpg,0,1,0,3.56276
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_149.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_149.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_149.jpg,-0.01307678,1,0,4.734782
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_258.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_258.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_258.jpg,-0.3380437,1,0,5.854296
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_358.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_358.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_358.jpg,-0.06216558,1,0,7.003311
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_462.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_462.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_462.jpg,0,1,0,8.136158
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_565.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_565.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_565.jpg,0,1,0,9.261636
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_667.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_667.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_667.jpg,-0.3049608,1,0,10.32236
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_767.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_767.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_767.jpg,-0.5549588,1,0,11.3619
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_870.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_870.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_870.jpg,-0.2977196,1,0,12.61573
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_24_972.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_24_972.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_24_972.jpg,0,1,0,13.75205
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_25_072.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_25_072.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_25_072.jpg,0,1,0,14.79984
\\homes.mtu.edu\home\Desktop\Python\data\IMG\center_2019_02_23_17_50_25_173.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\left_2019_02_23_17_50_25_173.jpg, \\homes.mtu.edu\home\Desktop\Python\data\IMG\right_2019_02_23_17_50_25_173.jpg,-0.2924708,1,0,15.82289
